"","Date","Primary.Fur.Color","Running","Climbing","Eating","Foraging","Number"
"169",2018-10-12,"Gray",TRUE,FALSE,FALSE,FALSE,16
"170",2018-10-12,"Gray",TRUE,FALSE,FALSE,TRUE,14
"171",2018-10-12,"Gray",TRUE,FALSE,TRUE,FALSE,2
"172",2018-10-12,"Gray",TRUE,FALSE,TRUE,TRUE,10
"173",2018-10-12,"Gray",TRUE,TRUE,FALSE,FALSE,6
"174",2018-10-12,"Gray",TRUE,TRUE,FALSE,TRUE,9
"175",2018-10-12,"Unknown",FALSE,FALSE,FALSE,FALSE,1
"176",2018-10-13,"Black",FALSE,FALSE,FALSE,FALSE,2
"177",2018-10-13,"Black",FALSE,FALSE,FALSE,TRUE,5
"178",2018-10-13,"Black",FALSE,FALSE,TRUE,FALSE,3
"179",2018-10-13,"Black",FALSE,FALSE,TRUE,TRUE,1
"180",2018-10-13,"Black",FALSE,TRUE,FALSE,FALSE,3
"181",2018-10-13,"Black",TRUE,TRUE,FALSE,FALSE,1
"182",2018-10-13,"Cinnamon",FALSE,FALSE,FALSE,FALSE,3
"183",2018-10-13,"Cinnamon",FALSE,FALSE,FALSE,TRUE,22
"184",2018-10-13,"Cinnamon",FALSE,FALSE,TRUE,FALSE,8
"185",2018-10-13,"Cinnamon",FALSE,FALSE,TRUE,TRUE,5
"186",2018-10-13,"Cinnamon",FALSE,TRUE,FALSE,FALSE,7
"187",2018-10-13,"Cinnamon",FALSE,TRUE,FALSE,TRUE,4
"188",2018-10-13,"Cinnamon",FALSE,TRUE,TRUE,FALSE,1
"189",2018-10-13,"Cinnamon",FALSE,TRUE,TRUE,TRUE,1
"190",2018-10-13,"Cinnamon",TRUE,FALSE,FALSE,FALSE,8
"191",2018-10-13,"Cinnamon",TRUE,FALSE,FALSE,TRUE,4
"192",2018-10-13,"Cinnamon",TRUE,FALSE,TRUE,FALSE,1
"193",2018-10-13,"Cinnamon",TRUE,FALSE,TRUE,TRUE,4
"194",2018-10-13,"Cinnamon",TRUE,TRUE,FALSE,FALSE,1
"195",2018-10-13,"Cinnamon",TRUE,TRUE,FALSE,TRUE,1
"196",2018-10-13,"Cinnamon",TRUE,TRUE,TRUE,FALSE,1
"197",2018-10-13,"Gray",FALSE,FALSE,FALSE,FALSE,35
"198",2018-10-13,"Gray",FALSE,FALSE,FALSE,TRUE,118
"199",2018-10-13,"Gray",FALSE,FALSE,TRUE,FALSE,31
"200",2018-10-13,"Gray",FALSE,FALSE,TRUE,TRUE,30
"201",2018-10-13,"Gray",FALSE,TRUE,FALSE,FALSE,26
"202",2018-10-13,"Gray",FALSE,TRUE,FALSE,TRUE,5
"203",2018-10-13,"Gray",FALSE,TRUE,TRUE,FALSE,3
"204",2018-10-13,"Gray",FALSE,TRUE,TRUE,TRUE,3
"205",2018-10-13,"Gray",TRUE,FALSE,FALSE,FALSE,50
"206",2018-10-13,"Gray",TRUE,FALSE,FALSE,TRUE,12
"207",2018-10-13,"Gray",TRUE,FALSE,TRUE,FALSE,6
"208",2018-10-13,"Gray",TRUE,FALSE,TRUE,TRUE,5
"209",2018-10-13,"Gray",TRUE,TRUE,FALSE,FALSE,11
"210",2018-10-13,"Gray",TRUE,TRUE,FALSE,TRUE,2
"211",2018-10-13,"Gray",TRUE,TRUE,TRUE,FALSE,1
"212",2018-10-13,"Gray",TRUE,TRUE,TRUE,TRUE,1
"213",2018-10-13,"Unknown",FALSE,FALSE,FALSE,FALSE,5
"214",2018-10-13,"Unknown",FALSE,FALSE,TRUE,FALSE,1
"215",2018-10-13,"Unknown",FALSE,TRUE,FALSE,FALSE,1
"216",2018-10-13,"Unknown",TRUE,FALSE,TRUE,TRUE,1
"217",2018-10-13,"Unknown",TRUE,TRUE,TRUE,FALSE,1
"218",2018-10-14,"Black",FALSE,FALSE,FALSE,FALSE,3
"219",2018-10-14,"Black",FALSE,FALSE,FALSE,TRUE,3
"220",2018-10-14,"Black",FALSE,FALSE,TRUE,FALSE,3
"221",2018-10-14,"Black",FALSE,TRUE,FALSE,FALSE,3
"222",2018-10-14,"Black",TRUE,FALSE,FALSE,FALSE,1
"223",2018-10-14,"Black",TRUE,FALSE,TRUE,FALSE,1
"224",2018-10-14,"Cinnamon",FALSE,FALSE,FALSE,FALSE,3
"225",2018-10-14,"Cinnamon",FALSE,FALSE,FALSE,TRUE,9
"226",2018-10-14,"Cinnamon",FALSE,FALSE,TRUE,FALSE,1
"227",2018-10-14,"Cinnamon",FALSE,FALSE,TRUE,TRUE,1
"228",2018-10-14,"Cinnamon",FALSE,TRUE,FALSE,FALSE,3
"229",2018-10-14,"Cinnamon",FALSE,TRUE,FALSE,TRUE,1
"230",2018-10-14,"Cinnamon",FALSE,TRUE,TRUE,TRUE,1
"231",2018-10-14,"Cinnamon",TRUE,FALSE,FALSE,FALSE,4
"232",2018-10-14,"Cinnamon",TRUE,TRUE,FALSE,TRUE,1
"233",2018-10-14,"Cinnamon",TRUE,TRUE,TRUE,FALSE,1
"234",2018-10-14,"Gray",FALSE,FALSE,FALSE,FALSE,38
"235",2018-10-14,"Gray",FALSE,FALSE,FALSE,TRUE,100
"236",2018-10-14,"Gray",FALSE,FALSE,TRUE,FALSE,22
"237",2018-10-14,"Gray",FALSE,FALSE,TRUE,TRUE,30
"238",2018-10-14,"Gray",FALSE,TRUE,FALSE,FALSE,46
"239",2018-10-14,"Gray",FALSE,TRUE,FALSE,TRUE,7
"240",2018-10-14,"Gray",FALSE,TRUE,TRUE,FALSE,8
"241",2018-10-14,"Gray",FALSE,TRUE,TRUE,TRUE,1
"242",2018-10-14,"Gray",TRUE,FALSE,FALSE,FALSE,49
"243",2018-10-14,"Gray",TRUE,FALSE,FALSE,TRUE,9
"244",2018-10-14,"Gray",TRUE,FALSE,TRUE,FALSE,5
"245",2018-10-14,"Gray",TRUE,FALSE,TRUE,TRUE,5
"246",2018-10-14,"Gray",TRUE,TRUE,FALSE,TRUE,3
"247",2018-10-14,"Gray",TRUE,TRUE,TRUE,FALSE,1
"248",2018-10-14,"Unknown",FALSE,FALSE,FALSE,FALSE,2
"249",2018-10-14,"Unknown",FALSE,TRUE,FALSE,FALSE,3
"250",2018-10-17,"Black",FALSE,FALSE,FALSE,FALSE,1
"251",2018-10-17,"Black",FALSE,FALSE,FALSE,TRUE,5
"252",2018-10-17,"Black",FALSE,TRUE,FALSE,FALSE,4
"253",2018-10-17,"Black",FALSE,TRUE,FALSE,TRUE,1
"254",2018-10-17,"Black",TRUE,FALSE,FALSE,FALSE,2
